 ZONE i=321, j=33
 0.28679570E+01, 0.32678718E+00
 0.29477362E+01, 0.32678718E+00
 0.30275212E+01, 0.32678718E+00
 0.31073121E+01, 0.32678718E+00
 0.31871089E+01, 0.32678718E+00
 0.32669114E+01, 0.32678718E+00
 0.33467197E+01, 0.32678718E+00
 0.34265337E+01, 0.32580641E+00
 0.35063534E+01, 0.32482557E+00
 0.35861789E+01, 0.32384467E+00
 0.36660100E+01, 0.32286369E+00
 0.37458468E+01, 0.32188265E+00
 0.38256892E+01, 0.32090153E+00
 0.39055373E+01, 0.31992035E+00
 0.39853909E+01, 0.31893909E+00
 0.40652500E+01, 0.31795777E+00
 0.41451148E+01, 0.31697639E+00
 0.42249850E+01, 0.31599493E+00
 0.43048607E+01, 0.31501340E+00
 0.43847419E+01, 0.31403181E+00
 0.44646286E+01, 0.31305015E+00
 0.45445207E+01, 0.31206843E+00
 0.46244182E+01, 0.31108664E+00
 0.47043210E+01, 0.31010478E+00
 0.47842292E+01, 0.30912286E+00
 0.48641428E+01, 0.30814087E+00
 0.49440617E+01, 0.30715881E+00
 0.50239858E+01, 0.30617669E+00
 0.51039152E+01, 0.30519451E+00
 0.51838499E+01, 0.30421226E+00
 0.52637898E+01, 0.30322995E+00
 0.53437349E+01, 0.30224757E+00
 0.54236851E+01, 0.30126513E+00
 0.55036405E+01, 0.30028263E+00
 0.55836011E+01, 0.29930006E+00
 0.56635667E+01, 0.29831744E+00
 0.57435374E+01, 0.28442358E+00
 0.58235132E+01, 0.27052885E+00
 0.59034940E+01, 0.25663324E+00
 0.59834799E+01, 0.24273677E+00
 0.60634707E+01, 0.22883942E+00
 0.61434665E+01, 0.21494121E+00
 0.62234672E+01, 0.20104215E+00
 0.63034729E+01, 0.18714223E+00
 0.63834834E+01, 0.17324145E+00
 0.64634989E+01, 0.16032307E+00
 0.65435191E+01, 0.14740391E+00
 0.66235443E+01, 0.13448397E+00
 0.67035742E+01, 0.12156325E+00
 0.67836089E+01, 0.10864176E+00
 0.68636483E+01, 0.95719504E-01
 0.69436925E+01, 0.82796481E-01
 0.70237414E+01, 0.69872696E-01
 0.71037950E+01, 0.56948155E-01
 0.71838533E+01, 0.44022860E-01
 0.72639162E+01, 0.31096815E-01
 0.73439837E+01, 0.31096815E-01
 0.74240559E+01, 0.31096815E-01
 0.75041326E+01, 0.31096815E-01
 0.75842138E+01, 0.31096815E-01
 0.76642996E+01, 0.31096815E-01
 0.77443899E+01, 0.31096815E-01
 0.78244847E+01, 0.31096815E-01
 0.79045839E+01, 0.31096815E-01
 0.79846876E+01, 0.31096815E-01
 0.80647957E+01, 0.31096815E-01
 0.81449081E+01, 0.31096815E-01
 0.82250250E+01, 0.31096815E-01
 0.83051462E+01, 0.31096815E-01
 0.83852717E+01, 0.31096815E-01
 0.84654015E+01, 0.31096815E-01
 0.85455356E+01, 0.31096815E-01
 0.86256739E+01, 0.31096815E-01
 0.87058164E+01, 0.31096815E-01
 0.87859632E+01, 0.31096815E-01
 0.88661141E+01, 0.31096815E-01
 0.89462692E+01, 0.31096815E-01
 0.90264285E+01, 0.31096815E-01
 0.91065918E+01, 0.31096815E-01
 0.91867593E+01, 0.31096815E-01
 0.92669308E+01, 0.31096815E-01
 0.93471063E+01, 0.31096815E-01
 0.94272859E+01, 0.31096815E-01
 0.95074694E+01, 0.31096815E-01
 0.95876569E+01, 0.31096815E-01
 0.96678484E+01, 0.31096815E-01
 0.97480438E+01, 0.31096815E-01
 0.98282431E+01, 0.31096815E-01
 0.99084463E+01, 0.31096815E-01
 0.99886534E+01, 0.31096815E-01
 0.10068864E+02, 0.31096815E-01
 0.10149079E+02, 0.31096815E-01
 0.10229297E+02, 0.31096815E-01
 0.10309520E+02, 0.31096815E-01
 0.10389746E+02, 0.31096815E-01
 0.10469975E+02, 0.31096815E-01
 0.10550209E+02, 0.31096815E-01
 0.10630446E+02, 0.31096815E-01
 0.10710686E+02, 0.31096815E-01
 0.10790931E+02, 0.31096815E-01
 0.10871179E+02, 0.31096815E-01
 0.10951430E+02, 0.31096815E-01
 0.11031685E+02, 0.31096815E-01
 0.11111944E+02, 0.31096815E-01
 0.11192206E+02, 0.31096815E-01
 0.11272471E+02, 0.31096815E-01
 0.11352740E+02, 0.31096815E-01
 0.11433013E+02, 0.31096815E-01
 0.11513289E+02, 0.31096815E-01
 0.11593568E+02, 0.31096815E-01
 0.11673851E+02, 0.31096815E-01
 0.11754137E+02, 0.31404217E-01
 0.11834426E+02, 0.31711632E-01
 0.11914719E+02, 0.32019059E-01
 0.11995015E+02, 0.32326498E-01
 0.12075314E+02, 0.32633950E-01
 0.12155616E+02, 0.32941415E-01
 0.12235922E+02, 0.33248892E-01
 0.12316230E+02, 0.33556381E-01
 0.12396542E+02, 0.33863882E-01
 0.12476857E+02, 0.34171395E-01
 0.12557175E+02, 0.34478919E-01
 0.12637497E+02, 0.34786456E-01
 0.12717821E+02, 0.35094005E-01
 0.12798148E+02, 0.35401565E-01
